year,Base case diesel consumed,Modeled residential ashp
2017,129937.906539,62493.639295
2018,129937.906539,62493.639295
2019,129937.906539,62493.639295
2020,129937.906539,62493.639295
2021,129937.906539,62493.639295
2022,129937.906539,62493.639295
2023,129937.906539,62493.639295
2024,131907.937241,64463.6699972
2025,131907.937241,64463.6699972
2026,131907.937241,64463.6699972
2027,131907.937241,64463.6699972
2028,131907.937241,64463.6699972
2029,133877.967943,66433.7006994
2030,133877.967943,66433.7006994
2031,133877.967943,66433.7006994
