year,Base case diesel consumed,"Nulato (west tributary nulato river) -- nulato river, west tributary","Koyukuk (east tributary nulato river) -- nulato river, east tributary"
2021,80338.6573742,57017.0331214,54027.0812941
2022,80338.6573742,57017.0331214,54027.0812941
2023,80338.6573742,57017.0331214,54027.0812941
2024,80338.6573742,57017.0331214,54027.0812941
2025,80338.6573742,57017.0331214,54027.0812941
2026,80338.6573742,57017.0331214,54027.0812941
2027,80412.6340384,57091.0097857,54101.0579584
2028,80412.6340384,57091.0097857,54101.0579584
2029,80412.6340384,57091.0097857,54101.0579584
2030,80486.6107027,57164.9864499,54175.0346226
2031,80486.6107027,57164.9864499,54175.0346226
2032,80486.6107027,57164.9864499,54175.0346226
2033,80486.6107027,57164.9864499,54175.0346226
2034,80560.5873669,57238.9631142,54249.0112869
2035,80560.5873669,57238.9631142,54249.0112869
2036,80560.5873669,57238.9631142,54249.0112869
2037,80560.5873669,57238.9631142,54249.0112869
2038,80560.5873669,57238.9631142,54249.0112869
2039,80560.5873669,57238.9631142,54249.0112869
2040,80560.5873669,57238.9631142,54249.0112869
2041,80560.5873669,57238.9631142,54249.0112869
2042,80634.5640312,57312.9397784,54322.9879511
2043,80634.5640312,57312.9397784,54322.9879511
2044,80634.5640312,57312.9397784,54322.9879511
2045,80634.5640312,57312.9397784,54322.9879511
2046,80634.5640312,57312.9397784,54322.9879511
2047,80560.5873669,57238.9631142,54249.0112869
2048,80560.5873669,57238.9631142,54249.0112869
2049,80560.5873669,57238.9631142,54249.0112869
2050,80560.5873669,57238.9631142,54249.0112869
