year,Base case cost,Modeled water and wastewater efficiency
2017,57953.8981434,45022.7193823
2018,61866.357776,47507.04331
2019,67278.8350772,50998.9242613
2020,69820.1890623,52571.884441
2021,71594.850858,53634.6368991
2022,72919.8646264,54399.0797022
2023,73836.5807039,54892.9633691
2024,74581.5121126,55274.761198
2025,75491.8435145,55770.2471421
2026,76593.6774023,56397.1994688
2027,77505.9801382,56899.9347397
2028,78267.0435538,57304.1683875
2029,79291.1899494,57887.1007746
2030,79918.0689161,58207.0429474
2031,81044.7721809,58863.937993
