year,Base case cost,Modeled biomass for heat (cordwood)
2017,367933.571987,393279.049104
2018,395382.87089,416432.774437
2019,433366.111805,448757.70227
2020,451196.735099,463584.601947
2021,463647.406197,473751.71214
2022,472946.265649,481195.747162
2023,479378.882174,486163.835289
2024,489290.72409,494783.480574
2025,495737.575676,499800.024939
2026,503547.034091,506016.250601
2027,510008.287568,511071.924185
2028,515399.805436,515209.834787
2029,522662.965315,520990.223734
2030,532144.877232,529366.499201
2031,540205.145283,535873.753218
2032,548249.822906,542380.181601
2033,556420.920529,549008.471191
2034,565050.507605,556046.8928
2035,575767.394949,565610.901135
2036,584462.951109,572740.183936
