year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,42237.41,184914.61,231145.08,15716.49,162049.45,152028.06
2018,45382.69,198714.64,241651.57,16483.67,169892.71,159386.28
2019,49734.29,217807.12,256187.39,17544.55,180743.95,169566.46
2020,51772.68,226774.0,263014.22,18047.51,185840.29,174347.63
2021,53193.24,233037.25,267782.67,18401.61,189400.01,177687.22
2022,54254.11,237713.81,271343.12,18665.75,192057.94,180180.78
2023,54987.23,240949.83,273806.82,18849.36,193897.14,181906.24
2024,55581.02,243580.39,282768.89,19000.49,195392.22,187209.05
2025,56305.97,246795.53,285278.46,19185.87,197219.55,188959.85
2026,57179.43,250689.18,288317.64,19414.25,199432.51,191080.13
2027,57899.85,253914.76,290835.36,19606.14,201265.77,192836.61
2028,58496.63,256607.95,292937.53,19770.41,202796.45,194303.19
2029,59304.61,260230.2,295764.87,19986.58,204855.16,196275.68
2030,59787.44,262453.65,304822.27,20130.63,206118.87,201600.76
2031,60673.32,266441.26,308011.39,20371.45,208385.22,203817.44
2032,61559.62,270418.42,311192.16,20609.13,210645.65,206028.31
2033,62458.38,274458.22,314423.02,20851.7,212941.67,208274.01
2034,63404.63,278727.67,317837.55,21110.98,215368.22,210647.37
2035,63982.45,281358.23,327626.42,21275.09,216863.31,216438.45
2036,64930.78,285617.24,331114.41,21529.72,219283.92,218854.32
2037,65509.55,288247.81,333268.77,21692.83,220779.01,220346.48
2038,66469.1,292548.57,336790.96,21948.1,223223.35,222786.03
2039,67202.34,295857.65,339501.0,22148.69,225104.07,224663.07
2040,68248.06,300544.65,343339.5,22426.65,227767.94,227321.72
