year,Base case cost,Modeled residential energy efficiency
2017,180875.333836,178178.277596
2018,191999.362091,188096.220755
2019,207294.900941,201733.392597
2020,214595.044483,208242.042795
2021,219461.806845,212581.142927
2022,223285.691557,215990.435887
2023,225719.072738,218159.985953
2024,227804.828036,220019.600295
2025,230585.8351,222499.086085
2026,233714.468046,225288.507598
2027,236147.849227,227458.057664
2028,238233.604525,229317.672006
2029,241362.237471,232107.093519
2030,243100.366886,233656.772138
2031,246228.999833,236446.193651
2032,262210.139888,252088.122273
2033,265499.407196,255038.178147
2034,269154.148648,258316.018007
2035,271346.99352,260282.721924
2036,275001.734973,263560.561784
