year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,48479.0,42566.5345276
2018,48479.0,42566.5345276
2019,49552.0,43639.5345276
2020,49553.0,43640.5345276
2021,49553.0,43640.5345276
2022,49553.0,43640.5345276
2023,49553.0,43640.5345276
2024,49553.0,43640.5345276
2025,49554.0,43641.5345276
2026,49554.0,43641.5345276
2027,49554.0,43641.5345276
2028,49554.0,43641.5345276
2029,49555.0,43642.5345276
2030,49555.0,43642.5345276
2031,49555.0,43642.5345276
2032,49555.0,43642.5345276
2033,49555.0,43642.5345276
2034,49555.0,43642.5345276
2035,49554.0,43641.5345276
2036,49554.0,43641.5345276
