year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,723990.47,9375.15,22689.17,16415.4
2018,723919.62,9375.28,22689.17,16415.4
2019,723919.62,9375.49,22689.17,17488.12
2020,723848.76,9375.69,22689.17,17488.12
2021,723848.76,9375.84,22689.17,17488.12
2022,723777.91,9376.06,22689.17,17488.12
2023,723777.91,9376.23,22689.17,17488.12
2024,723707.05,9376.42,22689.17,17488.12
2025,723707.05,9376.58,22689.17,17488.12
2026,723636.2,9376.76,22689.17,17488.12
2027,723636.2,9376.9,22689.17,17488.12
2028,723565.35,9377.01,22689.17,17488.12
2029,723494.49,9377.52,22689.17,17488.12
2030,723423.64,9377.88,22689.17,17488.12
2031,723352.78,9378.09,22689.17,17488.12
2032,723352.78,9378.01,22689.17,17488.12
2033,723423.64,9377.84,22689.17,17488.12
2034,723423.64,9377.64,22689.17,17488.12
2035,723494.49,9377.48,22689.17,17488.12
2036,723494.49,9377.42,22689.17,17488.12
2037,723494.49,9377.42,22689.17,17488.12
2038,723494.49,9377.36,22689.17,17488.12
2039,723565.35,9377.14,22689.17,17488.12
2040,723636.2,9376.86,22689.17,17488.12
