year,Base case diesel consumed,Modeled residential energy efficiency
2017,16415.3954504,12200.4642497
2018,16415.3954504,12200.4642497
2019,17488.1229954,13273.1917946
2020,17488.1229954,13273.1917946
2021,17488.1229954,13273.1917946
2022,17488.1229954,13273.1917946
2023,17488.1229954,13273.1917946
2024,17488.1229954,13273.1917946
2025,17488.1229954,13273.1917946
2026,17488.1229954,13273.1917946
2027,17488.1229954,13273.1917946
2028,17488.1229954,13273.1917946
2029,17488.1229954,13273.1917946
2030,17488.1229954,13273.1917946
2031,17488.1229954,13273.1917946
2032,17488.1229954,13273.1917946
2033,17488.1229954,13273.1917946
2034,17488.1229954,13273.1917946
2035,17488.1229954,13273.1917946
2036,17488.1229954,13273.1917946
