year,Base case cost,Modeled biomass for heat (pellet)
2017,209455.860641,210639.844776
2018,225087.382104,223990.128672
2019,252174.333837,247995.920209
2020,262561.380726,256844.705697
2021,269813.039263,262973.06398
2022,275227.61097,267509.46907
2023,278974.301214,270600.824308
2024,282019.997799,273087.02378
2025,285748.28225,276170.724229
2026,290256.487616,279934.894505
2027,293991.167128,283030.631128
2028,297109.443226,285594.351319
2029,301309.484018,289102.063486
2030,303883.926701,291200.063494
2031,308501.00231,295075.864253
2032,313105.991335,298944.336242
2033,317783.499871,302878.907329
2034,322726.913286,307047.509948
2035,325766.158835,309563.943014
2036,330697.386152,313727.78404
