year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,48479.0,41975.2879803
2018,48479.0,41975.2879803
2019,49552.0,43048.2879803
2020,49553.0,43049.2879803
2021,49553.0,43049.2879803
2022,49553.0,43049.2879803
2023,49553.0,43049.2879803
2024,49553.0,43049.2879803
2025,49554.0,43050.2879803
2026,49554.0,43050.2879803
2027,49554.0,43050.2879803
2028,49554.0,43050.2879803
2029,49555.0,43051.2879803
2030,49555.0,43051.2879803
2031,49555.0,43051.2879803
2032,49555.0,43051.2879803
2033,49555.0,43051.2879803
2034,49555.0,43051.2879803
2035,49554.0,43050.2879803
2036,49554.0,43050.2879803
