year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,11568914.0,4297389.0,7271525.0
2004,,11581569.0,4456926.0,7124643.0
2005,,11362501.0,4300812.0,7061689.0
2006,,11028734.0,4350092.0,6678642.0
2007,,10868569.0,4198806.0,6669763.0
2008,,10750074.0,4099610.0,6650464.0
2009,,10906614.0,4367275.0,6539339.0
2010,,9708731.0,4321785.0,5386946.0
2011,,9201098.0,4301403.0,4899695.0
2012,,9066722.0,4385517.0,4681205.0
2013,,8851794.0,4217885.0,4633909.0
2014,start of forecast,9004142.0,4265872.0,4738270.0
2015,,9003920.0,4265650.0,4738270.0
2016,,9003600.0,4265330.0,4738270.0
2017,,9003348.0,4265078.0,4738270.0
2018,,9003006.0,4264736.0,4738270.0
2019,,9002453.0,4264183.0,4738270.0
2020,,9001948.0,4263678.0,4738270.0
2021,,9001550.0,4263280.0,4738270.0
2022,,9000986.0,4262716.0,4738270.0
2023,,9000535.0,4262266.0,4738270.0
2024,,9000048.0,4261778.0,4738270.0
2025,,8999618.0,4261349.0,4738270.0
2026,,8999139.0,4260870.0,4738270.0
2027,,8998786.0,4260516.0,4738270.0
2028,,8998500.0,4260231.0,4738270.0
2029,,8997166.0,4258896.0,4738270.0
2030,,8996246.0,4257977.0,4738270.0
2031,,8995676.0,4257406.0,4738270.0
2032,,8995894.0,4257624.0,4738270.0
2033,,8996349.0,4258079.0,4738270.0
2034,,8996868.0,4258599.0,4738270.0
2035,,8997272.0,4259002.0,4738270.0
2036,,8997434.0,4259164.0,4738270.0
2037,,8997426.0,4259157.0,4738270.0
2038,,8997597.0,4259327.0,4738270.0
2039,,8998153.0,4259883.0,4738270.0
2040,,8998892.0,4260622.0,4738270.0
