year,Base case cost,Modeled biomass for heat (cordwood)
2017,209455.860641,216881.455613
2018,225087.382104,230256.822968
2019,252174.333837,254364.690901
2020,262561.380726,263179.461814
2021,269813.039263,269240.156543
2022,275227.61097,273690.592465
2023,278974.301214,276679.60711
2024,282019.997799,279058.548371
2025,285748.28225,282046.431757
2026,290256.487616,285727.445094
2027,293991.167128,288734.005232
2028,297109.443226,291204.328855
2029,301309.484018,294634.539808
2030,303883.926701,296638.704175
2031,308501.00231,300447.959366
2032,313105.991335,304252.59234
2033,317783.499871,308126.973597
2034,322726.913286,312241.277625
2035,325766.158835,314683.426661
2036,330697.386152,318798.072618
