year,Base case cost,Modeled water and wastewater efficiency
2017,79394.136826,59284.8560741
2018,84775.9167287,62930.0144279
2019,92366.0674934,68117.5481087
2020,95904.6948678,70490.2786414
2021,98414.060762,72152.2906685
2022,100314.939452,73394.5961556
2023,101637.718935,74236.7995679
2024,102653.495097,74863.8528744
2025,103971.703078,75706.7393909
2026,105526.263302,76713.7741934
2027,106846.433619,77561.4010019
2028,107874.922561,78203.6262356
2029,109375.577169,79181.0165341
2030,110305.279191,79762.53529
2031,111881.475113,80791.9138946
