year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,101937.0,88977.4184612
2018,101937.0,88977.4184612
2019,100169.0,87209.4184612
2020,100169.0,87209.4184612
2021,98401.0,85441.4184612
2022,98401.0,85441.4184612
2023,96634.0,83674.4184612
2024,96634.0,83674.4184612
2025,94866.0,81906.4184612
2026,94866.0,81906.4184612
2027,93098.0,80138.4184612
2028,93098.0,80138.4184612
2029,91331.0,78371.4184612
2030,91331.0,78371.4184612
2031,89563.0,76603.4184612
2032,89563.0,76603.4184612
2033,89563.0,76603.4184612
2034,89563.0,76603.4184612
2035,87795.0,74835.4184612
2036,87795.0,74835.4184612
