year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,668735
2004,,0,0,0,0,0,719047
2005,,0,0,0,0,0,937962
2006,,0,0,0,0,0,1038583
2007,,0,0,0,0,0,1094928
2008,,0,0,0,0,0,1129396
2009,,0,0,0,0,0,1351920
2010,,0,0,0,0,0,1319078
2011,,0,0,0,0,0,1528992
2012,,0,0,0,0,0,2087614
2013,,0,0,0,0,0,1349438
2014,start of forecast,0,0,0,0,0,1280000
2015,,0,0,0,0,0,1293000
2016,,0,0,0,0,0,1305000
2017,,0,0,0,0,0,1314000
2018,,0,0,0,0,0,1325000
2019,,0,0,0,0,0,1340000
2020,,0,0,0,0,0,1353000
2021,,0,0,0,0,0,1366000
2022,,0,0,0,0,0,1379000
2023,,0,0,0,0,0,1392000
2024,,0,0,0,0,0,1405000
2025,,0,0,0,0,0,1417000
2026,,0,0,0,0,0,1429000
2027,,0,0,0,0,0,1441000
2028,,0,0,0,0,0,1451000
2029,,0,0,0,0,0,1465000
2030,,0,0,0,0,0,1478000
2031,,0,0,0,0,0,1489000
2032,,0,0,0,0,0,1497000
2033,,0,0,0,0,0,1504000
2034,,0,0,0,0,0,1511000
2035,,0,0,0,0,0,1518000
2036,,0,0,0,0,0,1528000
2037,,0,0,0,0,0,1539000
2038,,0,0,0,0,0,1548000
2039,,0,0,0,0,0,1556000
2040,,0,0,0,0,0,1563000
