year,Base case cost,Modeled biomass for heat (pellet)
2017,299955.781044,320075.219437
2018,328498.141044,344623.908225
2019,361866.56423,372581.660647
2020,379896.98423,387931.275925
2021,385983.867416,391993.491593
2022,395823.967416,400205.678441
2023,395480.483162,398630.848677
2024,401278.523162,403334.736827
2025,400577.416348,401417.302122
2026,408166.696348,407667.904288
2027,407076.629534,405375.831499
2028,412662.509534,409896.211543
2029,411223.345281,407268.69976
2030,415789.895281,410912.683946
2031,415801.638467,409489.913681
2032,422966.678467,415356.320837
2033,431027.348467,421994.89967
2034,439088.018467,428639.472148
2035,435687.991652,424217.988425
2036,444467.491652,431463.36424
