year,Base case diesel consumed,"Nulato (west tributary nulato river) -- nulato river, west tributary","Koyukuk (east tributary nulato river) -- nulato river, east tributary"
2021,80338.6573742,57015.8353382,54025.729949
2022,80338.6573742,57015.8353382,54025.729949
2023,80338.6573742,57015.8353382,54025.729949
2024,80338.6573742,57015.8353382,54025.729949
2025,80338.6573742,57015.8353382,54025.729949
2026,80338.6573742,57015.8353382,54025.729949
2027,80338.6573742,57015.8353382,54025.729949
2028,80412.6340384,57089.8120025,54099.7066133
2029,80412.6340384,57089.8120025,54099.7066133
2030,80412.6340384,57089.8120025,54099.7066133
2031,80486.6107027,57163.7886667,54173.6832775
2032,80486.6107027,57163.7886667,54173.6832775
2033,80486.6107027,57163.7886667,54173.6832775
2034,80560.5873669,57237.765331,54247.6599418
2035,80560.5873669,57237.765331,54247.6599418
2036,80560.5873669,57237.765331,54247.6599418
2037,80560.5873669,57237.765331,54247.6599418
2038,80560.5873669,57237.765331,54247.6599418
2039,80560.5873669,57237.765331,54247.6599418
2040,80560.5873669,57237.765331,54247.6599418
2041,80560.5873669,57237.765331,54247.6599418
2042,80560.5873669,57237.765331,54247.6599418
2043,80560.5873669,57237.765331,54247.6599418
2044,80634.5640312,57311.7419952,54321.636606
2045,80634.5640312,57311.7419952,54321.636606
2046,80560.5873669,57237.765331,54247.6599418
2047,80560.5873669,57237.765331,54247.6599418
2048,80560.5873669,57237.765331,54247.6599418
2049,80560.5873669,57237.765331,54247.6599418
2050,80560.5873669,57237.765331,54247.6599418
2051,80560.5873669,57237.765331,54247.6599418
2052,80560.5873669,57237.765331,54247.6599418
2053,80560.5873669,57237.765331,54247.6599418
2054,80560.5873669,57237.765331,54247.6599418
2055,80560.5873669,57237.765331,54247.6599418
2056,80560.5873669,57237.765331,54247.6599418
2057,80560.5873669,57237.765331,54247.6599418
2058,80560.5873669,57237.765331,54247.6599418
2059,80560.5873669,57237.765331,54247.6599418
2060,80560.5873669,57237.765331,54247.6599418
2061,80560.5873669,57237.765331,54247.6599418
2062,80560.5873669,57237.765331,54247.6599418
2063,80560.5873669,57237.765331,54247.6599418
2064,80560.5873669,57237.765331,54247.6599418
2065,80560.5873669,57237.765331,54247.6599418
2066,80560.5873669,57237.765331,54247.6599418
2067,80560.5873669,57237.765331,54247.6599418
2068,80560.5873669,57237.765331,54247.6599418
2069,80560.5873669,57237.765331,54247.6599418
2070,80560.5873669,57237.765331,54247.6599418
