year,Base case diesel consumed,Modeled solar power
2020,80264.6807099,78817.8411204
2021,80338.6573742,78903.3925013
2022,80338.6573742,78914.8746203
2023,80338.6573742,78926.2648823
2024,80338.6573742,78937.5640223
2025,80338.6573742,78948.7727691
2026,80338.6573742,78959.8918459
2027,80338.6573742,78970.9219701
2028,80412.6340384,79055.8405176
2029,80412.6340384,79066.6948658
2030,80412.6340384,79077.4623792
2031,80486.6107027,79162.1204167
2032,80486.6107027,79172.716339
2033,80486.6107027,79183.2274939
2034,80560.5873669,79267.6312238
2035,80560.5873669,79277.974873
2036,80560.5873669,79288.2357729
2037,80560.5873669,79298.4145857
2038,80560.5873669,79308.5119679
2039,80560.5873669,79318.5285711
