year,Base case cost,"Nulato (west tributary nulato river) -- nulato river, west tributary","Koyukuk (east tributary nulato river) -- nulato river, east tributary"
2021,357507.025315,1486190.33285,1607313.49921
2022,367147.6642,1469591.56978,1587807.26771
2023,374378.143364,1451769.01471,1567218.64207
2024,380001.84938,1433302.86234,1546099.45345
2025,386428.94197,1415960.0594,1526134.43027
2026,395266.194281,1400914.62728,1508442.35213
2027,402496.673445,1385188.31634,1490178.36745
2028,408496.180915,1369145.07911,1471705.13778
2029,415733.317979,1354401.29138,1454530.00199
2030,420558.076021,1338346.46162,1436175.95747
2031,429798.501152,1326116.29289,1421561.95268
2032,438652.028329,1313948.26048,1407059.00886
2033,446700.6894,1301624.03549,1392474.59447
2034,456778.53037,1291336.89607,1379920.0358
2035,462417.771486,1278080.16953,1364576.17475
2036,471279.436096,1267613.60714,1351959.19845
2037,476918.677212,1255164.09753,1337510.50487
2038,485780.341822,1245485.83287,1325767.7155
2039,493030.794685,1234997.03019,1313309.71695
2040,503503.671043,1227261.4298,1303537.6141
2041,503503.671043,1212147.80443,1286777.27965
2042,503503.671043,1197388.40465,1270409.76554
2043,503503.671043,1182974.92817,1254425.86489
2044,503966.025195,1169361.62179,1239278.94117
2045,503966.025195,1155615.85958,1224035.50577
2046,503503.671043,1141729.90951,1208686.98422
2047,503503.671043,1128620.92916,1194149.71143
2048,503503.671043,1115819.19044,1179953.15586
2049,503503.671043,1103317.49251,1166089.33209
2050,503503.671043,1091108.80313,1152550.44171
2051,503503.671043,1079186.25493,1139328.8691
2052,503503.671043,1067543.1414,1126417.17703
2053,503503.671043,1056172.91344,1113808.10285
2054,503503.671043,1045069.17512,1101494.55377
2055,503503.671043,1034225.68068,1089469.6035
2056,503503.671043,1023636.33064,1077726.48801
2057,503503.671043,1013295.16846,1066258.60175
2058,503503.671043,1003196.37737,1055059.49418
2059,503503.671043,993334.276615,1044122.86561
2060,503503.671043,983703.318815,1033442.56423
2061,503503.671043,974298.086666,1023012.58251
2062,503503.671043,965113.28957,1012827.0534
2063,503503.671043,956143.761181,1002880.24765
2064,503503.671043,947384.456138,993166.570194
2065,503503.671043,938830.447384,983680.557136
2066,503503.671043,930476.923013,974416.872291
2067,503503.671043,922319.184522,965370.305229
2068,503503.671043,914352.642962,956535.76701
2069,503503.671043,906572.8173,947908.288371
2070,503503.671043,898975.331276,939483.016231
