year,Base case cost,Modeled biomass for heat (cordwood)
2017,663986.897445,682486.567611
2018,717661.897445,729042.511138
2019,789704.988237,791914.618496
2020,823611.059029,820986.489832
2021,847623.899029,841306.707855
2022,864580.259821,855392.01012
2023,877293.029821,865735.283897
2024,893605.990236,880020.054011
2025,904988.070236,889235.541181
2026,920644.901028,902267.412333
2027,933456.391821,912793.749382
2028,943422.482613,920814.015586
2029,963102.963028,938248.606244
2030,971707.86382,945105.758367
2031,987471.19382,958341.179302
2032,1003241.52461,971601.667944
2033,1017579.0254,983606.702243
2034,1042169.71661,1005562.69255
2035,1052272.74661,1013846.50868
2036,1068156.3374,1027288.38863
