year,Base case cost,Modeled solar power
2020,343532.833438,348786.688943
2021,357507.025315,362323.21854
2022,367147.6642,371606.670201
2023,374378.143364,378530.301076
2024,380001.84938,383882.307488
2025,386428.94197,390030.32928
2026,395266.194281,398553.755705
2027,402496.673445,405504.891695
2028,408496.180915,411258.735682
2029,415733.317979,418229.261977
2030,420558.076021,422833.736668
2031,429798.501152,431793.153079
2032,438652.028329,440372.108592
2033,446700.6894,448165.537206
2034,456778.53037,457968.254536
2035,462417.771486,463402.760656
2036,471279.436096,472013.902148
2037,476918.677212,477458.916262
2038,485780.341822,486081.153899
2039,493030.794685,493122.599156
