year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.36,3.25
2006,,2.88,4.25
2008,,3.4,5.75
2009,,3.92,5.4
2010,,2.38,4.4
2011,,2.54,5.0
2012,,3.3,5.6
2013,,4.06,5.55
2014,,,5.55
2016,,2.65,4.2
2017,,3.15,4.7
2018,,3.53,5.08
2019,,4.04,5.59
2020,,4.28,5.83
2021,,4.45,6.0
2022,,4.57,6.12
2023,,4.66,6.21
2024,,4.73,6.28
2025,,4.81,6.36
2026,,4.92,6.47
2027,,5.01,6.56
2028,,5.08,6.63
2029,,5.17,6.72
2030,,5.23,6.78
2031,,5.34,6.89
2032,,5.45,7.0
2033,,5.55,7.1
2034,,5.67,7.22
2035,,5.74,7.29
2036,,5.85,7.4
2037,,5.92,7.47
2038,,6.03,7.58
2039,,6.12,7.67
2040,,6.25,7.8
