year,Base case diesel consumed,Modeled non-residential ashp
2017,95741.2518121,67018.8762972
2018,95741.2518121,67018.8762972
2019,95741.2518121,67018.8762972
2020,95741.2518121,67018.8762972
2021,95741.2518121,67018.8762972
2022,95741.2518121,67018.8762972
2023,95741.2518121,67018.8762972
2024,95741.2518121,67018.8762972
2025,95741.2518121,67018.8762972
2026,95741.2518121,67018.8762972
2027,95741.2518121,67018.8762972
2028,95741.2518121,67018.8762972
2029,95741.2518121,67018.8762972
2030,95741.2518121,67018.8762972
2031,95741.2518121,67018.8762972
