year,Base case cost,Modeled diesel efficiency
2019,504862.663867,731841.082838
2020,540674.324923,764397.138344
2021,566805.329021,788152.596615
2022,588891.629216,808231.051338
2023,607099.864037,824783.992083
2024,622521.367053,838803.54028
2025,639664.305572,854388.029843
2026,660125.136202,872988.784961
2027,679624.819611,890715.769878
2028,696221.719384,905803.860581
2029,717811.079684,925430.551763
2030,733572.555054,939759.165735
2031,756036.767624,960181.177163
2032,778808.963901,980883.173778
2033,802246.970367,1002190.45238
2034,827326.812681,1024990.30903
2035,846679.943457,1042584.06428
2036,873144.968531,1066643.17799
2037,893400.47669,1085057.27631
2038,920931.541988,1110085.51749
