year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,141419.57,2833.82,95741.25,105938.7
2018,142833.02,2858.16,95741.25,110005.63
2019,144246.48,2882.93,95741.25,114072.56
2020,145734.32,2908.03,95741.25,118139.49
2021,147222.16,2933.48,95741.25,122206.42
2022,148710.01,2959.37,95741.25,126273.35
2023,150272.24,2985.81,95741.25,131357.02
2024,151834.48,3012.74,95741.25,135423.95
2025,153396.72,3039.91,95741.25,139490.88
2026,154958.95,3067.31,95741.25,144574.55
2027,156595.58,3095.28,95741.25,148641.48
2028,158232.21,3123.29,95741.25,153725.14
2029,159868.84,3152.01,95741.25,157792.07
2030,161579.86,3181.15,95741.25,162875.74
2031,163290.88,3210.67,95741.25,167959.4
2032,165001.9,,,172026.34
2033,166787.31,,,177110.0
2034,168498.33,,,182193.66
2035,170358.14,,,187277.33
2036,172217.94,,,192360.99
