year,Base case cost,Modeled biomass for heat (cordwood)
2017,472017.691057,552274.715874
2018,503612.221057,575636.153969
2019,545738.261057,606784.738094
2020,565843.871057,621651.107791
2021,579247.611057,631562.020922
2022,589779.121057,639349.166953
2023,597438.401057,645012.545885
2024,603182.861057,649260.080084
2025,609884.731057,654215.536649
2026,618501.421057,660586.837948
2027,626160.701057,666250.21688
2028,631905.161057,670497.751079
2029,640521.851057,676869.052377
2030,645308.901057,680408.66421
2031,653925.591057,686779.965508
2032,,
2033,,
2034,,
2035,,
2036,,
