year,Base case cost,Modeled diesel efficiency
2019,384935.773425,569047.007013
2020,410137.022226,586821.950523
2021,430017.469936,599880.160234
2022,443883.067158,607587.861345
2023,455304.467184,613188.347751
2024,464228.90174,616630.957582
2025,474668.225532,621560.204608
2026,487814.12211,629056.872073
2027,499689.182726,635502.628147
2028,509556.850202,640225.428485
2029,522396.397627,647749.496132
2030,530919.206976,651446.480778
2031,544264.450372,659622.442438
2032,558056.758322,668297.546967
2033,572315.91893,677487.610311
2034,587563.751807,687664.892007
2035,598071.234621,693619.117158
2036,613556.524737,704182.950639
2037,625735.002935,711822.943776
2038,640246.278636,721664.084303
