year,Base case cost,Modeled non-residential energy efficiency
2017,960746.891257,1149421.20288
2018,1024923.34182,1204581.47851
2019,1113165.96134,1282632.93189
2020,1153276.24294,1315288.2952
2021,1183358.95414,1338583.49551
2022,1203414.09494,1352515.63235
2023,1219458.20758,1362772.22559
2024,1231491.29206,1369350.50853
2025,1245529.89062,1377938.13232
2026,1263579.51734,1390429.24314
2027,1277618.1159,1399234.12825
2028,1289651.20038,1406247.05568
2029,1307700.8271,1419052.70542
2030,1317728.3975,1424371.1891
2031,1335778.02422,1437374.4367
