year,Base case diesel consumed,Kwethluk wind feasibility,Modeled wind power
2019,111253.113707,93002.3145051,94220.7627472
2020,112059.29569,93808.4964884,95026.9447306
2021,112865.477674,94614.6784718,95833.126714
2022,113525.081115,95274.2819128,96492.7301549
2023,114111.395284,95860.5960825,97079.0443247
2024,114624.420183,96373.620981,97592.0692232
2025,115210.734352,96959.9351508,98178.3833929
2026,115870.337793,97619.5385917,98837.9868339
2027,116749.809048,98499.0098463,99717.4580885
2028,117409.412489,99158.6132873,100377.061529
2029,117922.437387,99671.6381858,100890.086428
2030,118508.751557,100257.952356,101476.400598
2031,119095.065727,100844.266525,102062.714767
2032,119754.669168,101503.869966,102722.318208
2033,120487.56188,102236.762678,103455.210921
2034,121147.165321,102896.366119,104114.814361
2035,121806.768762,103555.96956,104774.417802
2036,122466.372203,104215.573001,105434.021243
2037,123419.132729,105168.333527,106386.781769
2038,124078.73617,105827.936968,107046.38521
