year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,200834.0,148499.596033
2018,200834.0,148499.596033
2019,200834.0,148499.596033
2020,200834.0,148499.596033
2021,200834.0,148499.596033
2022,200834.0,148499.596033
2023,200834.0,148499.596033
2024,200834.0,148499.596033
2025,200834.0,148499.596033
2026,200834.0,148499.596033
2027,200834.0,148499.596033
2028,200834.0,148499.596033
2029,200834.0,148499.596033
2030,200834.0,148499.596033
2031,200834.0,148499.596033
2032,,
2033,,
2034,,
2035,,
2036,,
