year,Base case cost,Modeled biomass for heat (cordwood)
2017,536492.527164,661141.0462
2018,600759.407164,708660.91693
2019,689126.367164,774000.739185
2020,731301.507164,805185.654352
2021,759418.267164,825975.597796
2022,783518.347164,843795.54932
2023,797576.727164,854190.521043
2024,811635.107164,864585.492765
2025,825693.487164,874980.464487
2026,843768.547164,888345.42813
2027,859835.267164,900225.395813
2028,873893.647164,910620.367535
2029,891968.707164,923985.331178
2030,902010.407164,931410.31098
2031,922093.807164,946260.270583
2032,,
2033,,
2034,,
2035,,
2036,,
