year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5829.50503594,3789.17827336
2018,5802.20675504,3771.43439077
2019,5774.70471586,3753.55806531
2020,5725.49642826,3721.57267837
2021,5697.41574224,3703.32023245
2022,5670.14742578,3685.59582676
2023,5643.74807842,3668.43625097
2024,5613.56055854,3648.81436305
2025,5583.25184911,3629.11370192
2026,5552.31788146,3609.00662295
2027,5519.40359653,3587.61233774
2028,5474.20588424,3558.23382476
2029,5440.21820608,3536.14183395
2030,5405.64721993,3513.67069296
2031,5371.01097787,3491.15713562
