year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,377836
2004,,0,0,0,0,0,371616
2005,,0,0,0,0,0,382296
2006,,0,0,0,0,0,391399
2007,,0,0,0,0,0,388648
2008,,0,0,0,0,0,321769
2009,,0,0,0,0,0,399520
2010,,0,0,0,0,0,428093
2011,,0,0,0,0,0,428754
2012,,0,0,0,0,0,509097
2013,,0,0,0,0,0,459680
2014,start of forecast,0,0,0,0,0,459000
2015,,0,0,0,0,0,460000
2016,,0,0,0,0,0,462000
2017,,0,0,0,0,0,463000
2018,,0,0,0,0,0,464000
2019,,0,0,0,0,0,466000
2020,,0,0,0,0,0,468000
2021,,0,0,0,0,0,470000
2022,,0,0,0,0,0,471000
2023,,0,0,0,0,0,472000
2024,,0,0,0,0,0,474000
2025,,0,0,0,0,0,475000
2026,,0,0,0,0,0,477000
2027,,0,0,0,0,0,478000
2028,,0,0,0,0,0,481000
2029,,0,0,0,0,0,482000
2030,,0,0,0,0,0,484000
2031,,0,0,0,0,0,486000
2032,,0,0,0,0,0,487000
2033,,0,0,0,0,0,489000
2034,,0,0,0,0,0,491000
2035,,0,0,0,0,0,493000
2036,,0,0,0,0,0,495000
2037,,0,0,0,0,0,497000
2038,,0,0,0,0,0,498000
2039,,0,0,0,0,0,501000
2040,,0,0,0,0,0,502000
