year,Base case cost,Modeled solar power
2020,148206.746845,151034.528484
2021,154950.846624,157599.335358
2022,159654.628693,162153.509069
2023,163061.968557,165433.814192
2024,165953.889063,168214.37941
2025,169391.875483,171531.070028
2026,173648.960775,175663.424679
2027,177120.379802,179019.192168
2028,180912.194646,182704.224931
2029,184869.315158,186544.887362
2030,187434.339062,189020.40062
2031,192270.922875,193739.64059
2032,196284.693083,197644.710582
2033,201177.926591,202425.849073
2034,206104.592706,207242.986867
2035,209691.168491,210740.024566
2036,214679.127719,215623.290908
2037,217854.296701,218719.109754
2038,222454.994898,223219.705678
2039,227051.978361,227730.184475
