year,Base case diesel consumed,Modeled solar power
2020,43462.3891041,42805.2437346
2021,43648.1258097,42996.2376032
2022,43740.9941625,43094.3210616
2023,43833.8625153,43192.3627992
2024,44019.5992209,43383.2315025
2025,44112.4675736,43481.190797
2026,44298.2042792,43671.9777168
2027,44391.072632,43769.8558821
2028,44669.6776904,44053.4306745
2029,44762.5460431,44151.2290034
2030,44948.2827487,44341.8562453
2031,45134.0194543,44532.4443629
2032,45226.8878071,44630.1253164
2033,45412.6245127,44820.6361219
2034,45598.3612182,45011.1087346
2035,45784.0979238,45201.54346
2036,45969.8346294,45391.9406013
2037,46155.5713349,45582.3004591
2038,46248.4396877,45679.7549789
2039,46527.0447461,45962.9095149
