year,annotation,diesel generation efficiency
2002,,10.17
2003,,10.21
2004,,9.49
2005,,9.62
2006,,9.66
2007,,9.99
2008,,7.88
2009,,10.25
2010,,10.6
2011,,10.42
2012,,11.33
2013,,10.56
2014,start of forecast,10.77
2015,,10.77
2016,,10.77
2017,,10.77
2018,,10.77
2019,,10.77
2020,,10.77
2021,,10.77
2022,,10.77
2023,,10.77
2024,,10.77
2025,,10.77
2026,,10.77
2027,,10.77
2028,,10.77
2029,,10.77
2030,,10.77
2031,,10.77
2032,,10.77
2033,,10.77
2034,,10.77
2035,,10.77
2036,,10.77
2037,,10.77
2038,,10.77
2039,,10.77
2040,,10.77
