year,Base case diesel consumed,Modeled diesel efficiency
2019,43276.6523986,39342.4112714
2020,43462.3891041,39511.2628219
2021,43648.1258097,39680.1143725
2022,43740.9941625,39764.5401477
2023,43833.8625153,39848.965923
2024,44019.5992209,40017.8174735
2025,44112.4675736,40102.2432488
2026,44298.2042792,40271.0947993
2027,44391.072632,40355.5205745
2028,44669.6776904,40608.7979003
2029,44762.5460431,40693.2236756
2030,44948.2827487,40862.0752261
2031,45134.0194543,41030.9267766
2032,45226.8878071,41115.3525519
2033,45412.6245127,41284.2041024
2034,45598.3612182,41453.0556529
2035,45784.0979238,41621.9072035
2036,45969.8346294,41790.758754
2037,46155.5713349,41959.6103045
2038,46248.4396877,42044.0360798
