year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,3.5
2003,,1.66,
2004,,1.74,3.88
2005,,2.15,4.75
2006,,2.15,4.77
2008,,4.96,6.69
2009,,4.72,5.35
2010,,4.45,5.77
2011,,4.38,6.34
2012,,4.51,6.96
2013,,4.67,6.63
2014,,4.67,6.34
2016,start of forecast,3.08,4.36
2017,,3.58,4.86
2018,,3.95,5.23
2019,,4.44,5.72
2020,,4.67,5.95
2021,,4.83,6.11
2022,,4.95,6.23
2023,,5.03,6.31
2024,,5.09,6.37
2025,,5.17,6.45
2026,,5.27,6.55
2027,,5.35,6.63
2028,,5.42,6.7
2029,,5.51,6.79
2030,,5.56,6.84
2031,,5.66,6.94
2032,,5.76,7.04
2033,,5.86,7.14
2034,,5.96,7.24
2035,,6.03,7.31
2036,,6.13,7.41
2037,,6.2,7.48
2038,,6.3,7.58
2039,,6.38,7.66
2040,,6.49,7.77
