year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,58776.0,43459.8767571
2018,58776.0,43459.8767571
2019,58776.0,43459.8767571
2020,58776.0,43459.8767571
2021,58776.0,43459.8767571
2022,58776.0,43459.8767571
2023,58776.0,43459.8767571
2024,58776.0,43459.8767571
2025,58776.0,43459.8767571
2026,58776.0,43459.8767571
2027,58776.0,43459.8767571
2028,58776.0,43459.8767571
2029,58776.0,43459.8767571
2030,58776.0,43459.8767571
2031,58776.0,43459.8767571
2032,,
2033,,
2034,,
2035,,
2036,,
