year,Base case cost,Modeled biomass for heat (cordwood)
2017,285384.112546,328578.019104
2018,307131.232546,343924.706105
2019,335931.472546,364503.76896
2020,349449.952546,373800.051594
2021,358854.112546,380070.53713
2022,365907.232546,384618.637627
2023,370609.312546,387443.977853
2024,374135.872546,389415.388902
2025,378837.952546,392270.907991
2026,384715.552546,396010.185651
2027,389417.632546,398894.485547
2028,393531.952546,401358.073166
2029,398821.792546,404704.419341
2030,401760.592546,406325.61364
2031,407638.192546,410132.734573
2032,,
2033,,
2034,,
2035,,
2036,,
