year,Base case diesel consumed,Modeled non-residential ashp
2017,58775.8514356,41143.0959696
2018,58775.8514356,41143.0959696
2019,58775.8514356,41143.0959696
2020,58775.8514356,41143.0959696
2021,58775.8514356,41143.0959696
2022,58775.8514356,41143.0959696
2023,58775.8514356,41143.0959696
2024,58775.8514356,41143.0959696
2025,58775.8514356,41143.0959696
2026,58775.8514356,41143.0959696
2027,58775.8514356,41143.0959696
2028,58775.8514356,41143.0959696
2029,58775.8514356,41143.0959696
2030,58775.8514356,41143.0959696
2031,58775.8514356,41143.0959696
