year,Base case cost,"Central (circle hot springs, boulder creek)","Central(circle hot springs, crooked creek)","Central (circle hot springs, ketchem creek) -- ketchum creek","Central (circle hot springs, lower deadwood creek)","Central (circle hot springs, portage creek)","Central (circle hot springs, upper deadwood creek)"
2021,123097.935778,808450.933804,761637.819498,527879.66841,549865.542429,504122.447273,643811.763394
2022,127735.12757,796360.208343,750453.499398,521221.422778,542781.601682,497924.193951,634908.816165
2023,130630.612171,783756.00808,738734.460578,513922.378342,535066.83938,491074.360734,625417.680431
2024,133095.958269,771275.769849,727118.637866,506622.956636,527361.443173,484213.621883,615977.544448
2025,136453.311145,759567.696187,716254.719981,499974.274083,520316.301148,477993.340554,607238.320621
2026,140265.481237,748409.051759,705920.446395,493756.441087,513711.300716,472193.868112,598978.943494
2027,142920.348389,736846.455113,695162.89941,487018.855667,506595.622091,465864.837925,590247.662608
2028,145865.190415,725875.828154,684978.453803,480760.15399,499967.688748,460005.115989,582041.992596
2029,149264.849656,715432.88305,675303.263871,474918.698086,493765.655072,454553.28871,574299.200565
2030,151786.60424,704844.145457,665464.287229,468823.602541,487318.432777,448838.689891,566347.331356
2031,155655.182817,695217.32642,656569.656585,463585.105603,481736.062076,443971.771769,559295.578974
2032,159223.20993,685564.619144,647631.977042,458217.869158,476033.011406,438967.405263,552157.585246
2033,163112.94169,676501.84202,639267.469212,453340.122283,470827.320942,434444.023576,545550.583154
2034,167464.541725,667940.819213,631388.349985,448866.042915,466032.984175,430316.003948,539387.778056
2035,170037.4165,658745.085793,622858.53806,443661.465375,460515.655256,425449.375388,532534.054222
2036,174075.244332,650375.895543,615139.661753,439189.888188,455738.656808,421307.826493,526451.98265
2037,177114.394295,641918.13838,607316.976819,434538.393898,450788.899558,416978.625466,520227.739887
2038,181515.351756,634394.260235,600413.286378,430731.569224,446690.802471,413486.540297,514885.028081
2039,184217.813569,626070.69624,592695.374458,426037.940377,441712.7279,409100.274259,508691.509409
2040,189091.215896,619257.054849,586473.190115,422769.15719,438166.165711,406131.650035,503957.990204
2041,189460.515202,610381.718408,578175.448493,417355.596617,432481.336561,401011.213474,497114.023248
2042,189460.515202,601353.753593,569711.541133,411708.272381,426569.101598,395650.143162,490069.817745
2043,189829.814509,592906.681489,561815.306358,406562.606913,421164.734262,390784.022527,483560.010489
2044,189829.814509,584296.943706,553743.495658,401176.899076,415526.38788,385671.307693,476842.132926
2045,190199.113815,576258.296115,546230.167474,396286.718171,410389.489651,381047.721513,470651.005046
2046,190199.113815,568047.410116,538532.288731,391150.506804,405012.343386,376171.856568,464244.337593
2047,190568.413121,560398.266376,531384.12862,386503.974892,400130.523497,371779.5692,458357.125959
2048,190568.413121,552567.755382,524042.859465,381605.702089,395002.477274,367129.58209,452247.251833
2049,190937.712427,545290.071179,517242.950501,377191.531788,390363.918863,362957.87829,446649.877096
2050,190937.712427,537822.314064,510241.770755,372520.174886,385473.432954,358523.305073,440823.047146
