year,Base case cost,Modeled solar power (pv)
2016,66620.3001017,68808.9466931
2017,81860.2380334,83858.5477875
2018,93369.9506575,95215.9685156
2019,109734.580372,111389.417651
2020,117603.99251,119142.870131
2021,123097.935778,124545.65361
2022,127735.12757,129101.055744
2023,130630.612171,131931.268305
2024,133095.958269,134336.512223
2025,136453.311145,137627.942106
2026,140265.481237,141372.105451
2027,142920.348389,143967.633421
2028,145865.190415,146854.526363
2029,149264.849656,150194.087833
2030,151786.60424,152664.093261
2031,155655.182817,156471.810201
2032,159223.20993,159980.360438
2033,163112.94169,163811.971369
2034,167464.541725,168103.407799
2035,170037.4165,170630.848435
