year,Base case cost,Modeled biomass for heat (cordwood)
2017,511047.972748,543262.463499
2018,541908.912748,568832.008347
2019,583056.832748,603174.292093
2020,602695.612748,619223.865295
2021,615794.71745,629723.438693
2022,634363.153442,646125.057751
2023,641950.408144,651977.852035
2024,647649.497547,656235.3394
2025,654289.532249,661308.843162
2026,662817.932249,668006.301372
2027,670391.657547,673901.794572
2028,676070.062845,678193.508307
2029,683657.917547,684129.306901
2030,689336.182845,688446.443127
2031,697864.402845,695208.421721
2032,706392.622845,701982.444924
2033,714913.298144,708760.685743
2034,724388.998144,716366.289228
2035,730074.418144,720749.424811
2036,739550.118144,728377.200221
