year,Base case cost,Modeled residential energy efficiency
2017,340218.69461,328757.149244
2018,356685.006384,342743.016426
2019,378746.487693,361688.693507
2020,389152.504996,370345.966488
2021,396143.049337,376012.084741
2022,415337.480228,394070.513203
2023,419355.86769,397141.047358
2024,422410.636258,399376.940272
2025,426111.12616,402210.560274
2026,430611.323068,405736.733988
2027,434629.71053,408850.405356
2028,437684.479098,411128.424461
2029,441866.778447,414426.089398
2030,444757.635128,416559.807635
2031,449257.832037,420135.618157
2032,453921.940832,423884.580943
2033,458586.049628,427642.567537
2034,463568.055984,431668.36064
2035,466622.824552,434011.135176
2036,471604.830907,438053.938125
