year,Base case cost,Modeled water and wastewater efficiency
2017,145011.223938,112940.400744
2018,151813.641298,117506.207327
2019,160965.449634,123733.562818
2020,165269.788312,126550.325449
2021,168164.800459,128382.201635
2022,170426.562185,129772.174109
2023,172042.993381,130711.367682
2024,173293.46856,131399.612467
2025,174810.797124,132283.200483
2026,176583.450981,133344.20943
2027,178150.887151,134265.608449
2028,179354.916483,134937.495597
2029,181047.194932,135959.93549
2030,182155.356694,136568.09547
2031,183906.011428,137633.569219
