year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,93518.0,79603.1329333
2018,93518.0,79603.1329333
2019,93518.0,79603.1329333
2020,93518.0,79603.1329333
2021,93519.0,79604.1329333
2022,94756.0,80841.1329333
2023,94757.0,80842.1329333
2024,94759.0,80844.1329333
2025,94760.0,80845.1329333
2026,94760.0,80845.1329333
2027,94759.0,80844.1329333
2028,94758.0,80843.1329333
2029,94759.0,80844.1329333
2030,94758.0,80843.1329333
2031,94758.0,80843.1329333
2032,94758.0,80843.1329333
2033,94757.0,80842.1329333
2034,94757.0,80842.1329333
2035,94757.0,80842.1329333
2036,94757.0,80842.1329333
