year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9566.0231409,6217.91504158
2018,9565.66390911,6217.68154092
2019,9566.05610162,6217.93646605
2020,9566.49806881,6218.22374473
2021,9566.59214697,6218.28489553
2022,9567.39895061,6218.8093179
2023,9568.45502802,6219.49576821
2024,9569.7960088,6220.36740572
2025,9570.69208661,6220.94985629
2026,9570.58092759,6220.87760293
2027,9569.82616719,6220.38700867
2028,9569.46706884,6220.15359475
2029,9569.9086357,6220.44061321
2030,9569.39887885,6220.10927125
2031,9568.54149986,6219.55197491
