year,annotation,Average Load
2003,,225.0
2004,,222.0
2005,,211.0
2006,,221.0
2007,,213.0
2008,,217.0
2009,,217.0
2010,,236.0
2011,,229.0
2012,,205.0
2013,,190.0
2014,start of forecast,207.0
2015,,207.0
2016,,207.0
2017,,207.0
2018,,207.0
2019,,207.0
2020,,207.0
2021,,207.0
2022,,207.0
2023,,208.0
2024,,208.0
2025,,208.0
2026,,208.0
2027,,208.0
2028,,208.0
2029,,208.0
2030,,208.0
2031,,208.0
2032,,208.0
2033,,208.0
2034,,208.0
2035,,208.0
2036,,208.0
2037,,208.0
2038,,207.0
2039,,207.0
2040,,207.0
