year,annotation,diesel generation efficiency
2002,,12.08
2003,,11.5
2004,,10.91
2005,,13.02
2006,,11.48
2007,,12.17
2008,,14.71
2009,,12.74
2010,,13.12
2011,,11.06
2012,,9.57
2013,,13.33
2014,,15.41
2015,,12.88
2016,start of forecast,13.87
2017,,13.87
2018,,13.87
2019,,13.87
2020,,13.87
2021,,13.87
2022,,13.87
2023,,13.87
2024,,13.87
2025,,13.87
2026,,13.87
2027,,13.87
2028,,13.87
2029,,13.87
2030,,13.87
2031,,13.87
2032,,13.87
2033,,13.87
2034,,13.87
2035,,13.87
2036,,13.87
2037,,13.87
2038,,13.87
2039,,13.87
2040,,13.87
