year,Base case diesel consumed,Loud creek hydro_akutan,Akutan (north creek),"Akutan (unnamed stream, site #1) -- unnamed creek, 1","Akutan (unnamed stream, site #2) -- unnamed creek, 2",Loud creek (akutan)
2021,11415.5991756,0.0,0.0,0.0,0.0,0.0
2022,11559.7828619,144.183686256,144.183686256,144.183686256,144.183686256,144.183686256
2023,11631.874705,216.275529383,216.275529383,216.275529383,216.275529383,216.275529383
2024,11776.0583912,360.459215639,360.459215639,360.459215639,360.459215639,360.459215639
2025,11848.1502344,432.551058767,432.551058767,432.551058767,432.551058767,432.551058767
2026,11992.3339206,576.734745023,576.734745023,576.734745023,576.734745023,576.734745023
2027,12136.5176069,720.918431278,720.918431278,720.918431278,720.918431278,720.918431278
2028,12280.7012931,865.102117534,865.102117534,865.102117534,865.102117534,865.102117534
2029,12424.8849794,1009.28580379,1009.28580379,1009.28580379,1009.28580379,1009.28580379
2030,12569.0686656,1153.46949005,1153.46949005,1153.46949005,1153.46949005,1153.46949005
2031,12785.344195,1369.74501943,1369.74501943,1369.74501943,1369.74501943,1369.74501943
2032,12929.5278813,1513.92870568,1513.92870568,1513.92870568,1513.92870568,1513.92870568
2033,13145.8034107,1730.20423507,1730.20423507,1730.20423507,1730.20423507,1730.20423507
2034,13362.0789401,1946.47976445,1946.47976445,1946.47976445,1946.47976445,1946.47976445
2035,13506.2626263,2090.66345071,2090.66345071,2090.66345071,2090.66345071,2090.66345071
2036,13722.5381557,2306.93898009,2306.93898009,2306.93898009,2306.93898009,2306.93898009
2037,13866.7218419,2451.12266635,2451.12266635,2451.12266635,2451.12266635,2451.12266635
2038,14082.9973713,2667.39819573,2667.39819573,2667.39819573,2667.39819573,2667.39819573
2039,14227.1810576,2811.58188198,2811.58188198,2811.58188198,2811.58188198,2811.58188198
2040,14443.456587,3027.85741137,3027.85741137,3027.85741137,3027.85741137,3027.85741137
2041,14659.7321164,3244.13294075,3244.13294075,3244.13294075,3244.13294075,3244.13294075
2042,14803.9158026,3388.31662701,3388.31662701,3388.31662701,3388.31662701,3388.31662701
2043,15020.191332,3604.59215639,3604.59215639,3604.59215639,3604.59215639,3604.59215639
2044,15164.3750182,3748.77584265,3748.77584265,3748.77584265,3748.77584265,3748.77584265
2045,15380.6505476,3965.05137203,3965.05137203,3965.05137203,3965.05137203,3965.05137203
2046,15524.8342339,4109.23505829,4109.23505829,4109.23505829,4109.23505829,4109.23505829
2047,15669.0179201,4253.41874454,4253.41874454,4253.41874454,4253.41874454,4253.41874454
2048,15813.2016064,4397.6024308,4397.6024308,4397.6024308,4397.6024308,4397.6024308
2049,16029.4771358,4613.87796018,4613.87796018,4613.87796018,4613.87796018,4613.87796018
2050,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2051,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2052,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2053,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2054,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2055,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2056,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2057,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2058,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2059,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2060,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2061,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2062,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2063,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2064,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2065,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2066,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2067,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2068,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2069,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
2070,16173.660822,4758.06164644,4758.06164644,4758.06164644,4758.06164644,4758.06164644
