year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8191.8921141,5324.72987417
2018,8171.44574689,5311.43973548
2019,8149.06379025,5296.89146366
2020,8123.79666899,5280.46783484
2021,8095.70430516,5262.20779835
2022,8065.75354873,5242.73980668
2023,8033.85397685,5222.00508495
2024,8001.11738603,5200.72630092
2025,7966.07028823,5177.94568735
2026,7928.42009122,5153.47305929
2027,7887.58296011,5126.92892407
2028,7844.23207299,5098.75084744
2029,7803.62869177,5072.35864965
2030,7759.64943313,5043.77213153
2031,7712.61819991,5013.20182994
