year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,312652.0,1826.87,576314.0,1664.0,574650.0
2004,,312652.0,1826.87,528244.0,0.0,528244.0
2005,,312652.0,1826.87,535352.0,0.0,535352.0
2006,,312652.0,1826.87,631409.0,103762.0,527647.0
2007,,312652.0,1826.87,610687.0,825.0,609862.0
2008,,312652.0,1826.87,667067.0,0.0,667067.0
2009,,312652.0,1826.87,580093.0,12924.0,567169.0
2010,,312652.0,1826.87,603591.0,0.0,603591.0
2011,,312652.0,1826.87,543486.0,42111.0,501375.0
2012,,312652.0,1826.87,732148.0,365204.0,366944.0
2013,,312652.0,1826.87,617089.0,86922.0,530167.0
2014,,312652.0,1826.87,328420.0,0.0,328420.0
2015,,312652.0,1826.87,287314.0,2142.0,285172.0
2016,start of forecast,312652.0,1826.87,465000.0,312652.0,152348.0
2017,,312652.0,1826.87,466000.0,312652.0,153348.0
2018,,312652.0,1826.87,467000.0,312652.0,154348.0
2019,,312652.0,1826.87,468000.0,312652.0,155348.0
2020,,312652.0,1826.87,470000.0,312652.0,157348.0
2021,,312652.0,1826.87,471000.0,312652.0,158348.0
2022,,312652.0,1826.87,473000.0,312652.0,160348.0
2023,,312652.0,1826.87,474000.0,312652.0,161348.0
2024,,312652.0,1826.87,476000.0,312652.0,163348.0
2025,,312652.0,1826.87,477000.0,312652.0,164348.0
2026,,312652.0,1826.87,479000.0,312652.0,166348.0
2027,,312652.0,1826.87,481000.0,312652.0,168348.0
2028,,312652.0,1826.87,483000.0,312652.0,170348.0
2029,,312652.0,1826.87,485000.0,312652.0,172348.0
2030,,312652.0,1826.87,487000.0,312652.0,174348.0
2031,,312652.0,1826.87,490000.0,312652.0,177348.0
2032,,312652.0,1826.87,492000.0,312652.0,179348.0
2033,,312652.0,1826.87,495000.0,312652.0,182348.0
2034,,312652.0,1826.87,498000.0,312652.0,185348.0
2035,,312652.0,1826.87,500000.0,312652.0,187348.0
2036,,312652.0,1826.87,503000.0,312652.0,190348.0
2037,,312652.0,1826.87,505000.0,312652.0,192348.0
2038,,312652.0,1826.87,508000.0,312652.0,195348.0
2039,,312652.0,1826.87,510000.0,312652.0,197348.0
2040,,312652.0,1826.87,513000.0,312652.0,200348.0
