year,Base case cost,Loud creek hydro_akutan,Akutan (north creek),"Akutan (unnamed stream, site #1) -- unnamed creek, 1","Akutan (unnamed stream, site #2) -- unnamed creek, 2",Loud creek (akutan)
2021,39612.1291393,605885.64687,253866.423855,1602464.5267,147863.006091,1417449.9367
2022,41384.0226455,593529.91799,248725.502966,1566878.74451,145189.019749,1389224.39298
2023,42572.6614203,581348.863489,243556.344873,1532506.24925,142376.981081,1361514.9549
2024,43924.6977993,569771.021875,238816.03923,1499403.496,139923.143554,1334763.63397
2025,45141.452393,558179.759809,233916.412682,1466582.04162,137278.468542,1308367.47578
2026,46770.1022904,547115.750216,229401.846745,1434571.42785,134988.520656,1282858.77532
2027,48303.3400754,536376.627863,225048.935347,1403518.83106,132793.125909,1258004.72818
2028,49736.8402372,525951.86444,220850.686935,1373403.10751,130686.421026,1233786.81631
2029,51439.0238147,515736.882866,216742.97197,1343568.69598,128662.263193,1210126.04681
2030,52790.0883957,505884.199714,212820.023848,1315059.0185,126721.15367,1187111.67214
2031,54976.9800386,496485.456109,209263.096035,1286694.38921,125178.128103,1164905.79481
2032,56889.9226777,487047.822109,205533.250387,1258693.14676,123419.427994,1142963.80265
2033,59156.115348,478192.987467,202255.317978,1231667.55238,122070.886546,1121900.28898
2034,61599.1839137,469583.551235,199107.296645,1205090.79214,120830.441822,1101382.05196
2035,63209.3090911,460982.674482,195793.687177,1179618.06442,119308.742175,1081109.84043
2036,65730.9577658,452884.518271,192910.225856,1154293.10304,118254.150187,1061660.23786
2037,67253.6009335,444774.364928,189834.071058,1130214.46753,116874.081002,1042411.91232
2038,69851.6669618,437165.280798,187204.391322,1106084.79191,115998.209501,1023982.91637
2039,71847.2643408,429464.124204,184344.451012,1082564.1976,114817.937826,1005696.05105
2040,74672.6705546,422320.271686,181967.943544,1059393.04579,114142.616366,988250.326553
2041,75790.8150416,415526.798919,179685.574705,1039059.70058,113299.355396,971266.015159
2042,76536.2446995,408546.039848,177110.190566,1018856.40981,112129.350036,954333.265234
2043,77654.3891864,402119.078186,174985.352844,999516.819591,111376.952521,938187.562545
2044,78399.8188444,395496.240092,172563.807675,980283.992626,110295.680999,922073.766381
2045,79517.9633313,389418.81063,170589.20332,961892.120955,109629.937621,906727.823214
2046,80263.3929892,383137.312594,168314.370434,943584.800434,108633.289284,891395.042252
2047,81008.8226471,377020.508193,166110.324957,925724.028791,107677.470904,876439.09439
2048,81754.2523051,371064.537403,163975.407805,908299.339991,106761.525524,861851.147564
2049,82872.396792,365638.345454,162280.713583,891673.228004,106257.233437,847995.291436
2050,83617.8264499,359992.821605,160279.230458,875090.282319,105418.252388,834117.673721
2051,83617.8264499,353751.656079,157596.698448,858168.040797,103870.976309,819837.354041
2052,83617.8264499,347656.767867,154977.03828,841642.414301,102359.964513,805891.729344
2053,83617.8264499,341704.728619,152418.776406,825504.107236,100884.367061,792272.955277
2054,83617.8264499,335892.190242,149920.473775,809744.041609,99443.3539119,778973.371114
2055,83617.8264499,330215.883252,147480.725119,794353.352571,98036.1145133,765985.495998
2056,83617.8264499,324672.614712,145098.158074,779323.382821,96661.8572894,753302.024217
2057,83617.8264499,319259.266536,142771.432448,764645.678006,95319.8092209,740915.821322
2058,83617.8264499,313972.793686,140499.239444,750311.98184,94009.2153987,728819.920008
2059,83617.8264499,308810.222585,138280.300982,736314.231791,92729.3386297,717007.516477
2060,83617.8264499,303768.649211,136113.368875,722644.553918,91479.458964,705471.966077
2061,83617.8264499,298845.237715,133997.224241,709295.259127,90258.8733537,694206.780145
2062,83617.8264499,294037.218679,131930.676748,696258.83844,89066.8952193,683205.622015
2063,83617.8264499,289341.887575,129912.563956,683527.958824,87902.8540688,672462.303495
2064,83617.8264499,284756.603336,127941.7507,671095.459314,86766.0951433,661970.7816
2065,83617.8264499,280278.786662,126017.128366,658954.346419,85655.9789967,651725.154673
2066,83617.8264499,275905.918802,124137.614361,647097.790817,84571.8811937,641719.659592
2067,83617.8264499,271635.540068,122302.151481,635519.123334,83513.1919417,631948.668384
2068,83617.8264499,267465.248301,120509.707247,624211.830777,82479.3157105,622406.684703
2069,83617.8264499,263392.697759,118759.27343,613169.552919,81469.6709563,613088.341291
2070,83617.8264499,259415.597631,117049.86541,602386.078479,80483.6897538,603988.396578
