year,Base case diesel consumed,Modeled wind power
2019,145669.859777,113294.812072
2020,145454.186241,113079.138537
2021,145310.403884,112935.35618
2022,145741.750955,113366.703251
2023,146173.098026,113798.050321
2024,146676.336275,114301.28857
2025,146963.900989,114588.853284
2026,146892.00981,114516.962106
2027,146676.336275,114301.28857
2028,146460.662739,114085.615035
2029,146676.336275,114301.28857
2030,146532.553918,114157.506214
2031,146532.553918,114157.506214
2032,146316.880383,113941.832678
2033,146244.989204,113869.9415
2034,145957.42449,113582.376786
2035,146029.315669,113654.267964
2036,145957.42449,113582.376786
2037,146029.315669,113654.267964
2038,145813.642133,113438.594429
