year,Base case cost,Shungnak river,Cosmos creek,Kogoluktuk river,Cosmos hills hydroelectric design & permitting,Dahl creek,Wesley creek
2020,765089.019629,,,,3335869.13994,,
2021,789035.493092,4724086.56863,1414552.15258,2349977.58918,3336913.51285,1109437.57783,1233120.7983
2022,810324.13531,4721836.25558,1418407.68347,2350697.57912,3340688.78406,1119491.01312,1240212.55724
2023,825878.003845,4721093.92431,1421892.47493,2352011.61147,3344118.01113,1127266.66147,1245937.81427
2024,838988.643492,4721529.74188,1425616.05463,2354046.82296,3347798.37408,1134327.57432,1251403.97831
2025,853860.264744,4720105.16333,1428418.59881,2354678.60802,3350545.35386,1141420.97539,1256446.98806
2026,868131.777978,4716269.7879,1429280.02641,2353128.08104,3351345.04324,1147050.02176,1259797.82185
2027,880058.017649,4711899.82776,1429137.189,2350814.48452,3351146.64144,1151198.04125,1261895.45002
2028,889016.222829,4708183.21087,1428708.33424,2348697.26155,3350674.56993,1154106.51962,1263209.17959
2029,904992.994815,4706053.09419,1431275.02059,2348851.99333,3353179.51806,1161440.82474,1268265.27213
2030,912897.810909,4703093.77708,1431133.7853,2347263.58529,3353001.23984,1164160.16072,1269617.68056
2031,927551.0663,4699640.1438,1432376.95505,2346094.80047,3354182.67138,1170170.94924,1273350.25651
2032,942280.709664,4694452.20963,1432355.50421,2343420.1996,3354093.30851,1175393.87905,1276067.15248
2033,957904.679287,4690158.60171,1433228.37963,2341639.92498,3354898.27189,1181511.13512,1279678.37472
2034,972076.447106,4684412.792,1432649.05325,2338407.44857,3354251.03347,1186176.18939,1281837.39515
2035,982777.294451,4682438.81727,1433962.84065,2338032.86776,3355521.60412,1190827.30993,1284893.76688
2036,998348.783514,4678092.7288,1434783.23551,2336200.11259,3356274.08694,1196892.08544,1288452.50856
2037,1009062.57127,4676131.69448,1436109.96332,2335838.4722,3357557.59801,1201556.14639,1291521.8207
2038,1025069.9042,4670410.76101,1436025.19349,2332859.35687,3357398.74231,1207192.51908,1294424.3383
2039,1034690.41045,4665545.75633,1434917.63123,2329822.23095,3356241.78948,1209899.05184,1295308.301
2040,1050074.44686,4659201.52633,1434209.56488,2326219.81911,3355459.63727,1214912.12801,1297587.52207
2041,1047475.58076,4656602.66023,1431610.69878,2323620.95301,3352860.77117,1212313.26191,1294988.65597
2042,1045916.2611,4655043.34057,1430051.37912,2322061.63335,3351301.45151,1210753.94225,1293429.33631
2043,1044356.94144,4653484.02091,1428492.05946,2320502.31369,3349742.13185,1209194.62259,1291870.01665
2044,1042277.84856,4651404.92803,1426412.96657,2318423.2208,3347663.03897,1207115.52971,1289790.92377
2045,1041758.07534,4650885.15481,1425893.19335,2317903.44758,3347143.26575,1206595.75649,1289271.15055
2046,1038639.43602,4647766.51549,1422774.55403,2314784.80826,3344024.62642,1203477.11717,1286152.51123
2047,1038119.6628,4647246.74227,1422254.78081,2314265.03504,3343504.8532,1202957.34395,1285632.73801
2048,1036040.56992,4645167.64939,1420175.68793,2312185.94216,3341425.76032,1200878.25107,1283553.64513
2049,1034481.25026,4643608.32973,1418616.36827,2310626.6225,3339866.44066,1199318.93141,1281994.32547
2050,1030842.83772,4639969.91719,1414977.95573,2306988.20996,3336228.02812,1195680.51887,1278355.91293
