year,Base case cost,Modeled diesel efficiency
2019,729805.997481,921221.833826
2020,765089.019629,953297.308506
2021,789035.493092,975066.829837
2022,810324.13531,994420.140944
2023,825878.003845,1008560.02143
2024,838988.643492,1020478.78475
2025,853860.264744,1033998.44043
2026,868131.777978,1046972.54337
2027,880058.017649,1057814.57943
2028,889016.222829,1065958.40232
2029,904992.994815,1080482.74049
2030,912897.810909,1087668.93694
2031,927551.0663,1100990.07821
2032,942280.709664,1114380.66308
2033,957904.679287,1128584.27183
2034,972076.447106,1141467.69712
2035,982777.294451,1151195.74016
2036,998348.783514,1165351.63931
2037,1009062.57127,1175091.44636
2038,1025069.9042,1189643.56721
