year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,145885.53,9854.6,182646.33,96497.37
2018,145669.86,9853.15,182646.33,95264.88
2019,145669.86,9853.16,182646.33,95264.88
2020,145454.19,9852.16,182646.33,95264.88
2021,145310.4,9851.39,182646.33,95264.88
2022,145741.75,9853.54,182646.33,95264.88
2023,146173.1,9856.1,182646.33,96497.37
2024,146676.34,9858.78,182646.33,96497.37
2025,146963.9,9860.27,182646.33,97729.87
2026,146892.01,9859.8,182646.33,97729.87
2027,146676.34,9858.59,182646.33,96497.37
2028,146460.66,9857.43,182646.33,96497.37
2029,146676.34,9858.55,182646.33,96497.37
2030,146532.55,9857.67,182646.33,96497.37
2031,146532.55,9857.85,182646.33,96497.37
2032,146316.88,,,96497.37
2033,146244.99,,,96497.37
2034,145957.42,,,96497.37
2035,146029.32,,,96497.37
2036,145957.42,,,96497.37
