year,Base case diesel consumed,Allakaket (unnamed stream nw) -- unnamed creek,Alatna/ allakaket (unnamed creek 2.5 mi s of) -- unnamed creek
2021,57491.1118631,37302.2161722,41856.0941999
2022,57491.1118631,37302.2161722,41856.0941999
2023,57491.1118631,37302.2161722,41856.0941999
2024,57491.1118631,37302.2161722,41856.0941999
2025,57491.1118631,37302.2161722,41856.0941999
2026,57491.1118631,37302.2161722,41856.0941999
2027,57491.1118631,37302.2161722,41856.0941999
2028,57491.1118631,37302.2161722,41856.0941999
2029,57491.1118631,37302.2161722,41856.0941999
2030,57491.1118631,37302.2161722,41856.0941999
2031,57491.1118631,37302.2161722,41856.0941999
2032,57491.1118631,37302.2161722,41856.0941999
2033,57491.1118631,37302.2161722,41856.0941999
2034,57491.1118631,37302.2161722,41856.0941999
2035,57491.1118631,37302.2161722,41856.0941999
2036,57491.1118631,37302.2161722,41856.0941999
2037,57491.1118631,37302.2161722,41856.0941999
2038,57491.1118631,37302.2161722,41856.0941999
2039,57491.1118631,37302.2161722,41856.0941999
2040,57491.1118631,37302.2161722,41856.0941999
2041,57491.1118631,37302.2161722,41856.0941999
2042,57491.1118631,37302.2161722,41856.0941999
2043,57491.1118631,37302.2161722,41856.0941999
2044,57491.1118631,37302.2161722,41856.0941999
2045,57491.1118631,37302.2161722,41856.0941999
2046,57491.1118631,37302.2161722,41856.0941999
2047,57491.1118631,37302.2161722,41856.0941999
2048,57491.1118631,37302.2161722,41856.0941999
2049,57491.1118631,37302.2161722,41856.0941999
2050,57491.1118631,37302.2161722,41856.0941999
