year,Base case cost,Modeled biomass for heat (cordwood)
2017,290696.615474,319167.688811
2018,313393.535474,335950.111372
2019,344917.035474,359259.031594
2020,359417.845474,369981.134897
2021,369505.365474,377439.989368
2022,377071.005474,383034.130222
2023,382114.765474,386763.557457
2024,386528.055474,390026.806289
2025,392202.285474,394222.411929
2026,398506.985474,398884.195973
2027,403550.745474,402613.623209
2028,407964.035474,405876.87204
2029,413638.265474,410072.47768
2030,417421.085474,412869.548107
2031,423725.785474,417531.332152
2032,,
2033,,
2034,,
2035,,
2036,,
