year,Base case cost,"Kaltag (kaltag river s tributary) -- kaltag river, south tributary","Kaltag (north tributary kaltag river) -- kaltag river, north tributary"
2021,234153.371388,1022641.84709,1090238.40333
2022,240672.722795,1026953.06161,1094926.14386
2023,245018.957067,1029827.20463,1098051.30421
2024,248821.912055,1032342.07976,1100785.81952
2025,253711.425611,1035575.49065,1104301.62492
2026,259144.21845,1039168.16942,1108208.07536
2027,263490.452722,1042042.31243,1111333.23571
2028,267647.339331,1044911.11919,1114421.68264
2029,272543.327246,1048151.00444,1117943.9624
2030,275807.319189,1050310.92794,1120292.1489
2031,281247.305761,1053910.80044,1124205.79308
2032,287231.290989,1057870.66018,1128510.80167
2033,293058.300351,1061857.55547,1132811.46863
2034,299050.198685,1065825.32832,1137124.39033
2035,302863.224898,1068350.27469,1139868.97686
2036,308855.123232,1072318.04754,1144181.89856
2037,312668.149445,1074842.9939,1146926.48509
2038,318660.047779,1078810.76675,1151239.40679
2039,323017.792022,1081696.41974,1154376.07711
2040,329554.408387,1086024.89922,1159081.0826
2041,329554.408387,1086024.89922,1159081.0826
2042,329554.408387,1086024.89922,1159081.0826
2043,329554.408387,1086024.89922,1159081.0826
2044,329554.408387,1086024.89922,1159081.0826
2045,329554.408387,1086024.89922,1159081.0826
2046,329554.408387,1086024.89922,1159081.0826
2047,329554.408387,1086024.89922,1159081.0826
2048,329554.408387,1086024.89922,1159081.0826
2049,329554.408387,1086024.89922,1159081.0826
2050,329554.408387,1086024.89922,1159081.0826
