year,Base case diesel consumed,"Kaltag (kaltag river s tributary) -- kaltag river, south tributary","Kaltag (north tributary kaltag river) -- kaltag river, north tributary"
2021,54327.9283963,33940.0968229,37416.5791552
2022,54327.9283963,33940.0968229,37416.5791552
2023,54327.9283963,33940.0968229,37416.5791552
2024,54327.9283963,33940.0968229,37416.5791552
2025,54327.9283963,33940.0968229,37416.5791552
2026,54327.9283963,33940.0968229,37416.5791552
2027,54327.9283963,33940.0968229,37416.5791552
2028,54399.8657177,34012.0341444,37488.5164766
2029,54399.8657177,34012.0341444,37488.5164766
2030,54399.8657177,34012.0341444,37488.5164766
2031,54399.8657177,34012.0341444,37488.5164766
2032,54399.8657177,34012.0341444,37488.5164766
2033,54471.8030391,34083.9714658,37560.453798
2034,54471.8030391,34083.9714658,37560.453798
2035,54471.8030391,34083.9714658,37560.453798
2036,54471.8030391,34083.9714658,37560.453798
2037,54471.8030391,34083.9714658,37560.453798
2038,54471.8030391,34083.9714658,37560.453798
2039,54471.8030391,34083.9714658,37560.453798
2040,54471.8030391,34083.9714658,37560.453798
2041,54471.8030391,34083.9714658,37560.453798
2042,54471.8030391,34083.9714658,37560.453798
2043,54471.8030391,34083.9714658,37560.453798
2044,54471.8030391,34083.9714658,37560.453798
2045,54471.8030391,34083.9714658,37560.453798
2046,54471.8030391,34083.9714658,37560.453798
2047,54471.8030391,34083.9714658,37560.453798
2048,54471.8030391,34083.9714658,37560.453798
2049,54471.8030391,34083.9714658,37560.453798
2050,54471.8030391,34083.9714658,37560.453798
