year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,3034.17,669848.0,0.0,669848.0
2004,,3034.17,664639.0,0.0,664639.0
2005,,3034.17,713658.0,0.0,713658.0
2006,,3034.17,732625.0,0.0,732625.0
2007,,3034.17,744494.0,0.0,744494.0
2008,,3034.17,754883.0,0.0,754883.0
2009,,3034.17,745913.0,0.0,745913.0
2010,,3034.17,780130.0,0.0,780130.0
2011,,3034.17,745495.0,0.0,745495.0
2012,,3034.17,773592.0,374.0,773218.0
2013,,3034.17,735585.0,8880.0,726705.0
2014,start of forecast,3034.17,763000.0,8788.0,754212.0
2015,,3034.17,763000.0,8788.0,754212.0
2016,,3034.17,763000.0,8788.0,754212.0
2017,,3034.17,763000.0,8788.0,754212.0
2018,,3034.17,763000.0,8788.0,754212.0
2019,,3034.17,763000.0,8788.0,754212.0
2020,,3034.17,764000.0,8788.0,755212.0
2021,,3034.17,764000.0,8788.0,755212.0
2022,,3034.17,764000.0,8788.0,755212.0
2023,,3034.17,764000.0,8788.0,755212.0
2024,,3034.17,764000.0,8788.0,755212.0
2025,,3034.17,764000.0,8788.0,755212.0
2026,,3034.17,764000.0,8788.0,755212.0
2027,,3034.17,764000.0,8788.0,755212.0
2028,,3034.17,765000.0,8788.0,756212.0
2029,,3034.17,765000.0,8788.0,756212.0
2030,,3034.17,765000.0,8788.0,756212.0
2031,,3034.17,765000.0,8788.0,756212.0
2032,,3034.17,765000.0,8788.0,756212.0
2033,,3034.17,766000.0,8788.0,757212.0
2034,,3034.17,766000.0,8788.0,757212.0
2035,,3034.17,766000.0,8788.0,757212.0
2036,,3034.17,766000.0,8788.0,757212.0
2037,,3034.17,766000.0,8788.0,757212.0
2038,,3034.17,766000.0,8788.0,757212.0
2039,,3034.17,766000.0,8788.0,757212.0
2040,,3034.17,766000.0,8788.0,757212.0
